smoothing,lev_min,lev_max,threshold,cost_per_trade,sharpe,improvement,annual_return,annual_vol,annual_cost
40,0.3,2.5,0.03,0.0001,3.4976617822852862,0.19833910567273272,0.41542132872908333,0.11877115472773278,0.0012619811535217744
80,0.3,2.5,0.07,0.0001,3.492787023539498,0.1966689573280917,0.37275049743750777,0.10672007623865146,0.001116754373483634
60,0.2,2.8,0.05,0.0001,3.492110304355539,0.196437105561919,0.464302869852117,0.13295767584231652,0.0013076130623827036
60,0.2,2.8,0.07,0.0001,3.487601143669136,0.19489221531219675,0.46374189327179827,0.13296872955601738,0.0012542328094408374
80,0.2,2.8,0.03,0.0005,3.4797740628463774,0.19221056750946258,0.40715912719211,0.11700734583298289,0.00748986370743097
80,0.3,2.5,0.05,0.0001,3.479359276886785,0.19206845707489148,0.37403532371557957,0.1075012075356167,0.0011879471821246725
40,0.3,2.5,0.1,0.0005,3.4763842376760254,0.1910491744658012,0.40898875258511413,0.11764774105020234,0.005288617727719443
80,0.3,2.5,0.03,0.0001,3.4747797498451174,0.19049945850352856,0.37551596484123495,0.10806899771358831,0.00125433963330874
80,0.3,2.5,0.01,0.0001,3.4703535457212826,0.1889829901250979,0.3750542536790271,0.10807378808463025,0.0013203992120930236
80,0.2,2.8,0.05,0.0005,3.4658438355587955,0.18743791161855713,0.4079405380737353,0.11770309264611264,0.0071146768424552986
80,0.2,2.8,0.07,0.0005,3.4640235820625764,0.1868142718607611,0.4075507689019191,0.11765242332999708,0.00671700561265273
60,0.2,2.8,0.03,0.0001,3.4631641465489884,0.18651981938112094,0.46443350235750236,0.13410669627667118,0.0013795896926554934
80,0.3,2.5,0.1,0.0005,3.462617436359682,0.18633251018998254,0.36733312472692004,0.10608539103098395,0.005323451749945421
60,0.2,2.8,0.01,0.0001,3.4623553384427512,0.18624271243281681,0.4643643436832279,0.1341180492156195,0.0014435357322586703
80,0.2,2.8,0.01,0.0005,3.459023622242707,0.18510122818990413,0.4070748102986226,0.11768488878797823,0.00782030303016152
40,0.2,2.8,0.1,0.001,3.4555575288399263,0.1839137047736885,0.44929272046437974,0.13002032717285217,0.012732257686260516
40,0.3,2.5,0.07,0.0005,3.4524701008544603,0.18285591647932833,0.40958742607443877,0.11863605306040709,0.005622684492424313
80,0.4,2.2,0.1,0.0001,3.451081817639296,0.18238027470203982,0.3342351002148718,0.09684937010375039,0.0008235777930651856
60,0.2,2.8,0.1,0.0001,3.445856467937056,0.1805900098683375,0.46611674459373,0.13526876378364705,0.0011533375660610198
40,0.3,2.5,0.05,0.0005,3.4453135538241546,0.1804040012565826,0.40903862271854696,0.11872319204866887,0.005938786604015734
40,0.2,2.8,0.07,0.001,3.4394859321482674,0.178407391126166,0.44713656355531883,0.13000098630321827,0.013739205090657177
40,0.3,2.5,0.03,0.0005,3.437581851112883,0.17775503109049096,0.4083031085782123,0.11877625792271046,0.006309905767608871
80,0.4,2.2,0.07,0.0001,3.4374856252880255,0.17772206301750962,0.33312090769160685,0.09690830566417126,0.0008844928046269798
100,0.2,2.8,0.1,0.0001,3.43680947169579,0.17749040502955882,0.3932162387840279,0.11441316198130913,0.0011034409056927793
80,0.3,2.5,0.07,0.0005,3.435327187879481,0.17698255756649486,0.3666387600616299,0.10672600890977853,0.00558377186741817
40,0.2,2.8,0.05,0.001,3.4348415909827037,0.17681618649141018,0.44657402648599653,0.13001299031034275,0.014322100913869196
40,0.3,2.5,0.01,0.0005,3.434779313478446,0.17679484950304455,0.40794960588265883,0.1187702523657984,0.006603625107810661
60,0.2,2.8,0.05,0.0005,3.434336119667569,0.17664300621229062,0.45667240652122865,0.13297254275898682,0.006538065311913518
