date,returns
2021-11-01,0.00033697944512060487
2021-11-02,0.002391476369653202
2021-11-03,0.00428253497575077
2021-11-04,0.01108845230051207
2021-11-05,-0.0016581638758350575
2021-11-08,0.005636642194943625
2021-11-09,-0.001344245930280986
2021-11-10,-0.005653840261283323
2021-11-11,0.0008360274618920511
2021-11-12,0.005651711351101673
2021-11-15,-0.0023969315109325976
2021-11-16,0.002809414351816769
2021-11-17,-0.00358600298510858
2021-11-18,0.004756355004423887
2021-11-19,-0.00019816878540054997
2021-11-22,-0.001940275012591618
2021-11-23,0.0020608682177936668
2021-11-24,0.0012278338378357541
2021-11-26,-0.0014988704836861625
2021-11-29,0.008333778387225812
2021-11-30,0.0009076416199377022
2021-12-01,-0.006041425542019351
2021-12-02,0.0006950466834526753
2021-12-03,-0.0004097508067453403
2021-12-06,0.0006987053289938612
2021-12-07,0.00424299924613408
2021-12-08,-0.0011680445542832179
2021-12-09,-0.001075804055389422
2021-12-10,0.009255723632481918
2021-12-13,0.0004821687043315657
2021-12-14,0.0006274893382827565
2021-12-15,0.009470600986840758
2021-12-16,-0.002477155035070428
2021-12-17,0.00013325396194249187
2021-12-20,-5.396216276891145e-05
2021-12-21,0.0014854741288685034
2021-12-22,0.00419534765948049
2021-12-23,0.005539976302386552
2021-12-27,0.010497529382029946
2021-12-28,-0.0011160210257908532
2021-12-29,0.000852863788714464
2021-12-30,-0.003245171912666702
2021-12-31,0.0018773937788957183
2022-01-03,-0.0007410427475006687
2022-01-04,0.0008033914349546541
2022-01-05,-0.005105396012967066
2022-01-06,0.000877542561618981
2022-01-07,-0.0018486354023066135
2022-01-10,-0.0017078635420030904
2022-01-11,0.004682937498494311
2022-01-12,0.002201949350304703
2022-01-13,-0.0007570435292382954
2022-01-14,0.010948113032416044
2022-01-18,0.001323048759394276
2022-01-19,-0.001987262230255058
2022-01-20,-0.004290817363650098
2022-01-21,0.004739743446470577
2022-01-24,-0.0029927534469067307
2022-01-25,0.0024575884439528134
2022-01-26,-0.00048115505483990224
2022-01-27,-0.007395174067644192
2022-01-28,0.002509950141742752
2022-01-31,0.00115310127129106
2022-02-01,0.00030249414559868604
2022-02-02,0.0025760683214931714
2022-02-03,-0.0040000045876150804
2022-02-04,-0.0008132238757342544
2022-02-07,-0.002541630694195267
2022-02-08,0.0033630279075014253
2022-02-09,-9.748354459066315e-05
2022-02-10,-0.0023279579560006656
2022-02-11,0.0012994027486839083
2022-02-14,0.0007461898706596242
2022-02-15,0.013174445139988406
2022-02-16,-0.0007663522725742812
2022-02-17,0.00011367472698819567
2022-02-18,-0.005719278717343942
2022-02-22,-0.001575773411019843
2022-02-23,-0.0015125227362354293
2022-02-24,-0.005551457545714575
2022-02-25,0.013777408776328836
2022-02-28,-0.0012133138157038015
2022-03-01,-0.00791055819669467
2022-03-02,0.003345806858650183
2022-03-03,0.004095657184295753
2022-03-04,-0.0029532487382726924
2022-03-07,-0.005244887508111645
2022-03-08,-0.007754862345982541
2022-03-09,0.006072732457603311
2022-03-10,0.006403121905745206
2022-03-11,0.00199252029813568
2022-03-14,-0.0034670164156259224
2022-03-15,-0.005503138108037815
2022-03-16,-0.0059821762865473575
2022-03-17,0.0009289630346496471
2022-03-18,0.006466936450646018
2022-03-21,0.014687730645489408
2022-03-22,0.00696894459936667
2022-03-23,-0.005472568610601619
2022-03-24,0.01213960107600292
2022-03-25,0.010003862132809923
2022-03-28,0.004765251267297483
2022-03-29,0.002743474879427587
2022-03-30,0.0008058322315343943
2022-03-31,-0.008388505384632233
2022-04-01,0.005554549481378712
2022-04-04,-0.001296310573665191
2022-04-05,-0.00748382303284493
2022-04-06,0.001875670489028952
2022-04-07,0.01303346575000332
2022-04-08,0.007093394422518148
2022-04-11,-0.010142682387088044
2022-04-12,-0.003650574528252513
2022-04-13,0.0036341342370126667
2022-04-14,-0.0009202561397630726
2022-04-18,0.0038731380452310072
2022-04-19,0.004292862480168705
2022-04-20,0.010275837040292442
2022-04-21,0.00015396132680756244
2022-04-22,0.00029155627145037314
2022-04-25,-0.004334687080169087
2022-04-26,-0.0045393104988399186
2022-04-27,-0.001102601358082305
2022-04-28,-0.002077458923568723
2022-04-29,0.005005366723878852
2022-05-02,0.0013455084539433933
2022-05-03,-0.003853180925720794
2022-05-04,-0.0022254056855328893
2022-05-05,-0.0010063145729211262
2022-05-06,0.002828343414400864
2022-05-09,-0.0035692833957193908
2022-05-10,-0.0005786614788469896
2022-05-11,0.0015651601770443216
2022-05-12,-0.0037499084631271032
2022-05-13,0.009042332797808823
2022-05-16,0.005660097488124742
2022-05-17,0.002882394506129715
2022-05-18,-0.004966449664830873
2022-05-19,-0.00825653443007973
2022-05-20,0.015003119282852397
2022-05-23,0.00024066539967873172
2022-05-24,0.0013073929440631223
2022-05-25,-0.00400377882796102
2022-05-26,-0.004662236594673233
2022-05-27,0.006950547920722545
2022-05-31,-0.0006591138891017359
2022-06-01,0.0018541146430543119
2022-06-02,-0.009943312448651655
2022-06-03,-0.0028375890668961394
2022-06-06,0.0016081680489784833
2022-06-07,0.010189430796192653
2022-06-08,-0.0010556595848951582
2022-06-09,0.17695570078402653
2022-06-10,-0.0006694259276485689
2022-06-13,-0.001205239910278194
2022-06-14,-9.853548545677567e-05
2022-06-15,0.0008734873950546311
2022-06-16,-0.00040018716329316554
2022-06-17,0.0002302141711034005
2022-06-21,0.0004035862994615266
2022-06-22,-0.00017464649045247226
2022-06-23,-0.0005790412637986836
2022-06-24,0.0007623725611882481
2022-06-27,-0.000435195931883479
2022-06-28,-0.0003211919924054185
2022-06-29,-0.00024980925225867226
2022-06-30,-0.00015823842593043084
2022-07-01,-0.0004256859242559383
2022-07-05,-0.0001354472698168884
2022-07-06,-0.0003374332796186059
2022-07-07,0.0004913473577031455
2022-07-08,-0.00011648260898501617
2022-07-11,-0.0006136630648536559
2022-07-12,0.0002891886853281421
2022-07-13,-0.00012850566129441707
2022-07-14,-0.000370248587978591
2022-07-15,0.0009910370314673595
2022-07-18,-0.0003559843755100724
2022-07-19,0.0014296154344588725
2022-07-20,-0.000413324712930156
2022-07-21,0.00011993697460197867
2022-07-22,-0.0003109047276268196
2022-07-25,0.0008267266523787706
2022-07-26,-8.849713602034842e-05
2022-07-27,0.0006513863941103976
2022-07-28,0.0007929924255934142
2022-07-29,0.0005563979022820563
2022-08-01,-0.00026675507148604975
2022-08-02,-0.00022682121218097027
2022-08-03,0.0003361461231291438
2022-08-04,-0.00019239518350607805
2022-08-05,-3.5858962545844944e-05
2022-08-08,0.00035010389616766643
2022-08-09,0.0008313952517990327
2022-08-10,0.00395054638041549
2022-08-11,-0.0018076180424426679
2022-08-12,0.0033878650555486767
2022-08-15,0.0018732873509888866
2022-08-16,-0.0028726381722786257
2022-08-17,-0.0009435753042725393
2022-08-18,0.001937086545315164
2022-08-19,-0.0053434772311525
2022-08-22,-0.005934454142520376
2022-08-23,0.0003817364227491848
2022-08-24,0.0023153158874316196
2022-08-25,0.004001082063451557
2022-08-26,-0.002293728032054062
2022-08-29,-0.0024474389293997418
2022-08-30,-0.002493972583228307
2022-08-31,-0.0021361793931044377
2022-09-01,-0.000879539485119548
2022-09-02,-0.0009307824809551606
2022-09-06,-0.0028402076570030474
2022-09-07,0.0038487100122668997
2022-09-08,-0.0013630668297637603
2022-09-09,0.003813698113068955
2022-09-12,0.006121535300278901
2022-09-13,-0.0075562137553946696
2022-09-14,0.0032024523761169732
2022-09-15,-0.0022554505695130435
2022-09-16,0.002501692182575376
2022-09-19,-0.0006199894699338959
2022-09-20,-0.00623404046251807
2022-09-21,-0.002571922734789551
2022-09-22,-0.0003216745966088083
2022-09-23,-0.006882673626104464
2022-09-26,-0.004274842848776565
2022-09-27,-0.002382478304356449
2022-09-28,0.00675794654117655
2022-09-29,-0.0038685032164949462
2022-09-30,-0.001154302933625982
2022-10-03,0.009699989405089296
2022-10-04,0.0019097130957089251
2022-10-05,0.007064349149803259
2022-10-06,-0.004729195030491342
2022-10-07,0.009265157454466974
2022-10-10,0.007865995820946445
2022-10-11,0.0037695392712820183
2022-10-12,-0.0021266127723927686
2022-10-13,0.013118387243787704
2022-10-14,-0.003074857500238293
2022-10-17,0.00301006848318535
2022-10-18,-0.004492467978027556
2022-10-19,-0.002388809866582983
2022-10-20,0.0011524398586889215
2022-10-21,0.01452259565604
2022-10-24,0.011051453254168505
2022-10-25,0.014583828331929909
2022-10-26,0.008024053329412337
2022-10-27,-0.0002636405825109428
2022-10-28,0.02579161495205794
2022-10-31,-0.009303302239741129
2022-11-01,0.005547725217197816
2022-11-02,-0.008157473157853317
2022-11-03,0.0029979001068590515
2022-11-04,0.004368966976040405
2022-11-07,0.00470546724266948
2022-11-08,-0.000362635421377846
2022-11-09,-0.005956355220700939
2022-11-10,0.024955938599870046
2022-11-11,0.0007264320966990957
2022-11-14,-0.0014254900859606294
2022-11-15,0.008193312163925567
2022-11-16,-0.005319231611038385
2022-11-17,0.0006320905792461801
2022-11-18,0.002961988958772321
2022-11-21,-0.002866236534429442
2022-11-22,0.003922639509418824
2022-11-23,0.0014369750645524333
2022-11-25,8.857643023196159e-06
2022-11-28,-0.006041148577582089
2022-11-29,0.0011534484257513771
2022-11-30,0.008016823811163113
2022-12-01,0.0007598044373721537
2022-12-02,0.001586831006665377
2022-12-05,-0.006248241317900501
2022-12-06,-0.005818501693987084
2022-12-07,0.0005810347025559368
2022-12-08,0.004180754162393963
2022-12-09,-0.0030590324544151307
2022-12-12,0.004088236244131382
2022-12-13,0.005762260365815151
2022-12-14,0.005251909715888296
2022-12-15,-0.008297775462156168
2022-12-16,-0.0027053869956800447
2022-12-19,-0.0009133688239937887
2022-12-20,-0.0017143703181314606
2022-12-21,0.004215643939527098
2022-12-22,-0.0047688277517557815
2022-12-23,3.197471221213402e-05
2022-12-27,0.0011591681031768845
2022-12-28,-0.004801795446658746
2022-12-29,-0.0017178335016430901
2022-12-30,0.0025099779124518043
2023-01-03,0.007908280316054946
2023-01-04,0.000805052569854746
2023-01-05,0.006452847451981912
2023-01-06,0.017340147047478816
2023-01-09,-0.0005430069661383071
2023-01-10,0.007589546913498979
2023-01-11,0.0025063706418842475
2023-01-12,0.0071072248271871075
2023-01-13,0.0025015485250399023
2023-01-17,0.0006496109658632196
2023-01-18,-0.011352958484310777
2023-01-19,-0.0013871396474542104
2023-01-20,0.010382085404462872
2023-01-23,0.007856381380687474
2023-01-24,-0.0010114823664656286
2023-01-25,-0.0016474646765933568
2023-01-26,0.008141996163734509
2023-01-27,0.0057900585817252164
2023-01-30,-0.008432543654938252
2023-01-31,0.012485762773846484
2023-02-01,0.01602673574846263
2023-02-02,0.005067243733665549
2023-02-03,-0.0016606168497440039
2023-02-06,-0.0036977742851891215
2023-02-07,0.005435135464518989
2023-02-08,-0.005385092511667438
2023-02-09,-0.003026573584536055
2023-02-10,-0.0003556796842498705
2023-02-13,0.008424503933546558
2023-02-14,-0.0031237593021074214
2023-02-15,0.0019890706176649313
2023-02-16,-0.0051662430693472
2023-02-17,0.0011514140178338697
2023-02-21,-0.002159051034283199
2023-02-22,7.620843695354702e-05
2023-02-23,0.008166811603282169
2023-02-24,-0.0030718442739076455
2023-02-27,-0.0004014355705866824
2023-02-28,0.0014782540110662259
2023-03-01,0.0013878826195894993
2023-03-02,-0.00341002479882933
2023-03-03,0.0014625998070228272
2023-03-06,0.0003492070050589091
2023-03-07,0.0018146904877800205
2023-03-08,-0.0012071184727911915
2023-03-09,-0.0041812289341911545
2023-03-10,0.0023003785944956693
2023-03-13,0.0019425896876360857
2023-03-14,0.007262403608289777
2023-03-15,-0.004047857235638905
2023-03-16,0.008333875025829654
2023-03-17,-0.0008955158147119344
2023-03-20,0.0008982090386207298
2023-03-21,0.01121269943044842
2023-03-22,-0.0001670856384913087
2023-03-23,0.008565460094726062
2023-03-24,0.007617730693609907
2023-03-27,-0.00249963137036145
2023-03-28,-0.006635511174530246
2023-03-29,0.008366412356040897
2023-03-30,0.0020426792176513275
2023-03-31,0.005811588093412688
2023-04-03,0.0022614455097295025
2023-04-04,0.0015310811850640356
2023-04-05,-0.0018631599977830015
2023-04-06,0.0036532141313341125
2023-04-10,0.0014682458605850541
2023-04-11,0.0026873920884166002
2023-04-12,0.0018051477547058425
2023-04-13,0.004687959313690237
2023-04-14,-0.00036483143064699786
2023-04-17,0.003179725173357317
2023-04-18,-0.00044198241332527656
2023-04-19,0.004919562863202845
2023-04-20,-0.0022170204425953563
2023-04-21,0.001715280350950778
2023-04-24,0.0003325459030977855
2023-04-25,-0.00842500896237059
2023-04-26,0.0023583324236749695
2023-04-27,0.012287955619469753
2023-04-28,0.008391188896615515
2023-05-01,0.0018490929294637042
2023-05-02,-0.006204174985515563
2023-05-03,0.0034215426636413125
2023-05-04,-0.0008610285288652633
2023-05-05,0.010300587330242592
2023-05-08,0.003188640198191039
2023-05-09,0.0051804529108744205
2023-05-10,0.005813508696681495
2023-05-11,0.00480790269325708
2023-05-12,-0.0036084350956587293
2023-05-15,0.0010643531564515478
2023-05-16,0.0032179209149540643
2023-05-17,0.0021200004303345956
2023-05-18,0.0057752266520671855
2023-05-19,0.001970276547916398
2023-05-22,-0.0010093055858803176
2023-05-23,-0.005280655534138643
2023-05-24,0.004245705453087642
2023-05-25,0.013984288002088596
2023-05-26,0.00028049432469954986
2023-05-30,0.0011820589822050796
2023-05-31,-0.0052265539199325955
2023-06-01,0.004469512469586991
2023-06-02,0.006511868053243779
2023-06-05,-5.292239884209595e-06
2023-06-06,-7.694284029185211e-05
2023-06-07,-0.0031495404753165727
2023-06-08,0.00560355732153164
2023-06-09,0.0022964616184885447
2023-06-12,0.008312220714772023
2023-06-13,0.006113542314532714
2023-06-14,0.015105989101872531
2023-06-15,0.005461884004531055
2023-06-16,-0.004683675373078679
2023-06-20,-0.0021686041630910066
2023-06-21,-2.104027545821398e-05
2023-06-22,0.003666997864874731
2023-06-23,-0.004253246624262404
2023-06-26,-0.0028886296564730363
2023-06-27,0.007059672187887234
2023-06-28,5.470979799256823e-05
2023-06-29,0.0035799099526587553
2023-06-30,0.009676440381402985
2023-07-03,0.0017259783120314252
2023-07-05,-0.005412661645149433
2023-07-06,-0.0013989087943099142
2023-07-07,0.002697456130458665
2023-07-10,0.0018454766384777567
2023-07-11,0.0025511684512935784
2023-07-12,0.009421143637172393
2023-07-13,0.008986986779111465
2023-07-14,-0.0038745259585088745
2023-07-17,0.011018815208259288
2023-07-18,0.006249988579841235
2023-07-19,-0.0008661648959353722
2023-07-20,-0.0044119627122697
2023-07-21,-0.005814447718540627
2023-07-24,0.00020261416864200335
2023-07-25,0.0027855852111570226
2023-07-26,0.0009208350807547175
2023-07-27,0.00024118552061164195
2023-07-28,0.013387869526767342
2023-07-31,0.00010830922117181014
2023-08-01,0.001695785057091002
2023-08-02,-0.01157051048201429
2023-08-03,-0.0018001043186729399
2023-08-04,0.001069619730797338
2023-08-07,0.010036196669980813
2023-08-08,0.0037357235296254588
2023-08-09,-0.008905252180992342
2023-08-10,0.00017426237222650348
2023-08-11,0.0014798765396437728
2023-08-14,0.006618548420604164
2023-08-15,-0.005871418458219433
2023-08-16,-0.0024036371853576326
2023-08-17,-0.0028971358751578883
2023-08-18,-6.297624399442801e-06
2023-08-21,0.006110056019827952
2023-08-22,-0.002196156077515249
2023-08-23,-0.00150584294257608
2023-08-24,-0.007375117396466225
2023-08-25,0.000933378478783861
2023-08-28,-0.0022106376890967455
2023-08-29,0.014423187402486637
2023-08-30,0.002560080917961592
2023-08-31,-0.0010793822896492625
2023-09-01,-0.004923551133225243
2023-09-05,-0.00861245291553788
2023-09-06,-0.005375323918149136
2023-09-07,0.004917157655181924
2023-09-08,0.007437512844436977
2023-09-11,0.004956558060549551
2023-09-12,-0.0014954900139993003
2023-09-13,-0.0003015640216900232
2023-09-14,0.014545911018291542
2023-09-15,-0.01151104815816066
2023-09-18,-0.0015707964521156257
2023-09-19,-0.00039706866769616153
2023-09-20,-0.00559544614021185
2023-09-21,-0.0021277851018811776
2023-09-22,-0.0016708057536129457
2023-09-25,0.0018409023370763093
2023-09-26,-0.004973519890504369
2023-09-27,0.011445542744923213
2023-09-28,0.0004923624236492052
2023-09-29,-1.9041594508176395e-05
2023-10-02,0.015102681275872552
2023-10-03,0.003471663010449002
2023-10-04,0.0011739769149087895
2023-10-05,0.006733725430753892
2023-10-06,0.005628841512394086
2023-10-09,0.003294047418217032
2023-10-10,0.0003692139356818769
